2026-06-07 11:55:20 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-07 11:55:20 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-07 11:55:20 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-07 11:55:20 | INFO     | EquationAI.history_service | migrate_legacy_history:66 | Migrated 18 entries from legacy history.json to database.
2026-06-07 11:55:20 | INFO     | EquationAI.main           | lifespan:45 | Migrated 18 legacy history entries.
2026-06-07 11:55:20 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-07 11:56:47 | WARNING  | tensorflow                | _tfmw_add_deprecation_warning:149 | From C:\Users\Shree Khodiyar\AppData\Roaming\Python\Python313\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

2026-06-07 11:56:48 | INFO     | EquationAI.chroma_manager | __init__:145 | Initializing SentenceTransformers and ChromaDB...
2026-06-07 11:56:51 | WARNING  | huggingface_hub.file_download | _download_to_tmp_and_move:1736 | Xet Storage is enabled for this repo, but the 'hf_xet' package is not installed. Falling back to regular HTTP download. For better performance, install the package with: `pip install huggingface_hub[hf_xet]` or `pip install hf_xet`
2026-06-07 11:57:21 | INFO     | EquationAI.chroma_manager | _seed_chroma_db:191 | Seeded ChromaDB with 11 equations.
2026-06-07 11:57:21 | INFO     | EquationAI.chroma_manager | __init__:157 | ChromaDB Vector Database initialized successfully.
2026-06-07 11:57:21 | INFO     | EquationAI.history_service | create_entry:151 | Created history entry: 6b7b7e25-9611-484a-b912-46500f209c1e (source=converter)
2026-06-07 11:57:21 | INFO     | EquationAI.middleware     | dispatch:69 | [2f11bb9f] POST /api/convert/latex-to-mathml → 200 (75806ms)
2026-06-07 11:57:25 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-07 11:57:25 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-07 11:57:25 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-07 11:57:25 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-07 11:57:25 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-07 11:57:51 | INFO     | EquationAI.main           | lifespan:61 | Application shutting down...
2026-06-07 11:57:51 | INFO     | EquationAI.main           | lifespan:72 | Shutdown complete.
2026-06-07 11:58:12 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-07 11:58:12 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-07 11:58:12 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-07 11:58:12 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-07 11:58:12 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-07 11:58:22 | INFO     | EquationAI.main           | lifespan:61 | Application shutting down...
2026-06-07 11:58:22 | INFO     | EquationAI.main           | lifespan:72 | Shutdown complete.
2026-06-07 11:58:38 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-07 11:58:38 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-07 11:58:38 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-07 11:58:38 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-07 11:58:38 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-07 11:58:44 | INFO     | EquationAI.middleware     | dispatch:69 | [c4993c78] OPTIONS /api/convert/latex-to-mathml → 200 (0ms)
2026-06-07 11:59:07 | WARNING  | tensorflow                | _tfmw_add_deprecation_warning:149 | From C:\Users\Shree Khodiyar\AppData\Roaming\Python\Python313\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

2026-06-07 11:59:08 | INFO     | EquationAI.chroma_manager | __init__:145 | Initializing SentenceTransformers and ChromaDB...
2026-06-07 11:59:12 | INFO     | EquationAI.chroma_manager | _seed_chroma_db:191 | Seeded ChromaDB with 11 equations.
2026-06-07 11:59:12 | INFO     | EquationAI.chroma_manager | __init__:157 | ChromaDB Vector Database initialized successfully.
2026-06-07 11:59:12 | INFO     | EquationAI.history_service | create_entry:151 | Created history entry: 933107f8-aca7-44e6-8acb-8d5361f94059 (source=converter)
2026-06-07 11:59:12 | INFO     | EquationAI.middleware     | dispatch:69 | [03561f7a] POST /api/convert/latex-to-mathml → 200 (28351ms)
2026-06-07 11:59:18 | INFO     | EquationAI.chroma_manager | add_equation:317 | Indexed new equation: a2 + b2 =c2
...
2026-06-07 11:59:18 | INFO     | EquationAI.history_service | create_entry:151 | Created history entry: 347ac40e-3e14-4796-afa1-6fab0b8280d4 (source=converter)
2026-06-07 11:59:18 | INFO     | EquationAI.middleware     | dispatch:69 | [7db1a475] POST /api/convert/latex-to-mathml → 200 (34ms)
2026-06-07 12:00:05 | INFO     | EquationAI.middleware     | dispatch:69 | [fdba5416] OPTIONS /api/handwriting/recognize → 200 (0ms)
2026-06-07 12:00:05 | INFO     | EquationAI.ocr_service    | _ensure_model:36 | Loading pix2tex LatexOCR model (first use)...
2026-06-07 12:04:10 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-07 12:04:10 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-07 12:04:10 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-07 12:04:10 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-07 12:04:10 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-07 12:05:04 | INFO     | EquationAI.main           | lifespan:61 | Application shutting down...
2026-06-07 12:05:04 | INFO     | EquationAI.main           | lifespan:72 | Shutdown complete.
2026-06-07 12:05:05 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-07 12:05:05 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-07 12:05:05 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-07 12:05:05 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-07 12:05:05 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-07 12:05:22 | INFO     | EquationAI.main           | lifespan:61 | Application shutting down...
2026-06-07 12:05:22 | INFO     | EquationAI.main           | lifespan:72 | Shutdown complete.
2026-06-07 12:05:24 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-07 12:05:24 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-07 12:05:24 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-07 12:05:24 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-07 12:05:24 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-07 12:06:04 | INFO     | EquationAI.handwriting_preprocessor | preprocess_handwriting:36 | Preprocessing handwriting image: (1187, 400), mode=RGBA
2026-06-07 12:06:04 | INFO     | EquationAI.handwriting_preprocessor | _auto_crop:156 | Auto-cropped to content: (763, 279)
2026-06-07 12:06:04 | INFO     | EquationAI.handwriting_preprocessor | preprocess_handwriting:68 | Preprocessing complete: (1187, 400) → (606, 260)
2026-06-07 12:06:04 | INFO     | EquationAI.ocr_service    | _ensure_model:36 | Loading pix2tex LatexOCR model (first use)...
2026-06-09 13:15:05 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 13:15:05 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 13:15:05 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 13:15:05 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 13:15:05 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 13:15:45 | INFO     | EquationAI.middleware     | dispatch:69 | [101114a3] OPTIONS /api/handwriting/recognize → 200 (0ms)
2026-06-09 13:15:45 | INFO     | EquationAI.handwriting_preprocessor | preprocess_handwriting:36 | Preprocessing handwriting image: (1187, 400), mode=RGBA
2026-06-09 13:15:45 | INFO     | EquationAI.handwriting_preprocessor | _auto_crop:156 | Auto-cropped to content: (941, 311)
2026-06-09 13:15:45 | INFO     | EquationAI.handwriting_preprocessor | preprocess_handwriting:68 | Preprocessing complete: (1187, 400) → (665, 260)
2026-06-09 13:15:45 | INFO     | EquationAI.ocr_service    | _ensure_model:36 | Loading pix2tex LatexOCR model (first use)...
2026-06-09 13:15:49 | ERROR    | EquationAI.ocr_service    | _ensure_model:42 | Failed to load LatexOCR model: No module named 'torch'
2026-06-09 13:15:49 | WARNING  | EquationAI.exceptions     | app_exception_handler:124 | AppException: PROCESSING_ERROR — Ocr model loading failed: No module named 'torch' — POST /api/handwriting/recognize
2026-06-09 13:15:49 | ERROR    | EquationAI.middleware     | dispatch:61 | [4afb25ee] POST /api/handwriting/recognize → 500 (3849ms)
2026-06-09 13:17:22 | INFO     | EquationAI.file_service   | save_upload:82 | Saved upload: 3e728cedad45_download.png (959 bytes)
2026-06-09 13:17:22 | INFO     | EquationAI.ocr_service    | _ensure_model:36 | Loading pix2tex LatexOCR model (first use)...
2026-06-09 13:17:22 | ERROR    | EquationAI.ocr_service    | _ensure_model:42 | Failed to load LatexOCR model: No module named 'torch'
2026-06-09 13:17:22 | WARNING  | EquationAI.exceptions     | app_exception_handler:124 | AppException: PROCESSING_ERROR — Ocr model loading failed: No module named 'torch' — POST /api/upload
2026-06-09 13:17:22 | ERROR    | EquationAI.middleware     | dispatch:61 | [36228aec] POST /api/upload → 500 (12ms)
2026-06-09 13:18:10 | INFO     | EquationAI.main           | lifespan:61 | Application shutting down...
2026-06-09 13:18:10 | INFO     | EquationAI.main           | lifespan:72 | Shutdown complete.
2026-06-09 13:19:22 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 13:19:22 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 13:19:22 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 13:19:22 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 13:19:22 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 13:19:26 | INFO     | EquationAI.file_service   | save_upload:82 | Saved upload: a6fdab95f153_download.png (959 bytes)
2026-06-09 13:19:26 | INFO     | EquationAI.ocr_service    | _ensure_model:36 | Loading pix2tex LatexOCR model (first use)...
2026-06-09 13:19:29 | ERROR    | EquationAI.ocr_service    | _ensure_model:42 | Failed to load LatexOCR model: No module named 'torch'
2026-06-09 13:19:29 | WARNING  | EquationAI.exceptions     | app_exception_handler:124 | AppException: PROCESSING_ERROR — Ocr model loading failed: No module named 'torch' — POST /api/upload
2026-06-09 13:19:29 | ERROR    | EquationAI.middleware     | dispatch:61 | [3e3345b7] POST /api/upload → 500 (3044ms)
2026-06-09 13:19:31 | INFO     | EquationAI.main           | lifespan:61 | Application shutting down...
2026-06-09 13:19:31 | INFO     | EquationAI.main           | lifespan:72 | Shutdown complete.
2026-06-09 13:19:34 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 13:19:34 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 13:19:34 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 13:19:34 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 13:19:34 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 13:19:50 | INFO     | EquationAI.main           | lifespan:61 | Application shutting down...
2026-06-09 13:19:50 | INFO     | EquationAI.main           | lifespan:72 | Shutdown complete.
2026-06-09 13:19:52 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 13:19:52 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 13:19:52 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 13:19:52 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
2026-06-09 13:19:52 | INFO     | EquationAI.main           | lifespan:56 | Application startup complete.
2026-06-09 13:20:09 | INFO     | EquationAI.main           | lifespan:61 | Application shutting down...
2026-06-09 13:20:09 | INFO     | EquationAI.main           | lifespan:72 | Shutdown complete.
2026-06-09 13:20:10 | INFO     | EquationAI                | setup_logging:68 | Logging initialized — level=INFO, env=development
2026-06-09 13:20:10 | INFO     | EquationAI.main           | lifespan:32 | Starting EquationAI v2.0.0 (development)
2026-06-09 13:20:10 | INFO     | EquationAI.main           | lifespan:36 | Database tables created/verified.
2026-06-09 13:20:10 | INFO     | EquationAI.history_service | migrate_legacy_history:41 | Database already has entries — skipping legacy migration.
